2025-06-09 21:02:58 | INFO     | __init__             | === ИНИЦИАЛИЗАЦИЯ ПАРСЕРА ===
2025-06-09 21:02:58 | INFO     | __init__             | Воркеров: 3, Браузеров на воркер: 10
2025-06-09 21:02:58 | INFO     | init_database        | База данных инициализирована
2025-06-09 21:03:00 | INFO     | setup_chrome_driver  | Chrome драйвер установлен: C:\Users\webse\.wdm\drivers\chromedriver\win64\137.0.7151.68\chromedriver-win32/chromedriver.exe
2025-06-09 21:03:03 | INFO     | run_stealth_parsing  | === НАЧАЛО СТЕЛС ПАРСИНГА ===
2025-06-09 21:03:03 | INFO     | run_stealth_parsing  | Диапазон страниц: 1-10000
2025-06-09 21:03:03 | INFO     | run_stealth_parsing  | Подготовлено 1000 батчей для 3 воркеров
2025-06-09 21:03:03 | INFO     | worker_thread        | ВОРКЕР 0: Запуск с 334 батчами страниц
2025-06-09 21:03:05 | DEBUG    | create_stealth_browser | Браузер 0-0 создан успешно
2025-06-09 21:03:06 | INFO     | worker_thread        | ВОРКЕР 1: Запуск с 333 батчами страниц
2025-06-09 21:03:07 | DEBUG    | create_stealth_browser | Браузер 0-1 создан успешно
2025-06-09 21:03:07 | DEBUG    | create_stealth_browser | Браузер 1-0 создан успешно
2025-06-09 21:03:09 | INFO     | worker_thread        | ВОРКЕР 2: Запуск с 333 батчами страниц
2025-06-09 21:03:09 | DEBUG    | create_stealth_browser | Браузер 0-2 создан успешно
2025-06-09 21:03:10 | DEBUG    | create_stealth_browser | Браузер 1-1 создан успешно
2025-06-09 21:03:10 | DEBUG    | create_stealth_browser | Браузер 2-0 создан успешно
2025-06-09 21:03:11 | DEBUG    | create_stealth_browser | Браузер 0-3 создан успешно
2025-06-09 21:03:12 | DEBUG    | create_stealth_browser | Браузер 1-2 создан успешно
2025-06-09 21:03:13 | INFO     | print_clean_stats    | СТАТИСТИКА: pages=0, found=0, detailed=0, failed_pages=0, failed_details=0
2025-06-09 21:03:13 | DEBUG    | create_stealth_browser | Браузер 2-1 создан успешно
2025-06-09 21:03:14 | DEBUG    | create_stealth_browser | Браузер 0-4 создан успешно
2025-06-09 21:03:15 | DEBUG    | create_stealth_browser | Браузер 1-3 создан успешно
2025-06-09 21:03:16 | DEBUG    | create_stealth_browser | Браузер 2-2 создан успешно
2025-06-09 21:03:17 | DEBUG    | create_stealth_browser | Браузер 0-5 создан успешно
2025-06-09 21:03:18 | DEBUG    | create_stealth_browser | Браузер 1-4 создан успешно
2025-06-09 21:03:21 | DEBUG    | create_stealth_browser | Браузер 0-6 создан успешно
2025-06-09 21:03:21 | DEBUG    | create_stealth_browser | Браузер 2-3 создан успешно
2025-06-09 21:03:23 | DEBUG    | create_stealth_browser | Браузер 1-5 создан успешно
2025-06-09 21:03:23 | INFO     | print_clean_stats    | СТАТИСТИКА: pages=0, found=0, detailed=0, failed_pages=0, failed_details=0
2025-06-09 21:03:25 | DEBUG    | create_stealth_browser | Браузер 2-4 создан успешно
2025-06-09 21:03:25 | DEBUG    | create_stealth_browser | Браузер 0-7 создан успешно
2025-06-09 21:03:26 | DEBUG    | create_stealth_browser | Браузер 1-6 создан успешно
2025-06-09 21:03:29 | DEBUG    | create_stealth_browser | Браузер 0-8 создан успешно
2025-06-09 21:03:29 | DEBUG    | create_stealth_browser | Браузер 2-5 создан успешно
2025-06-09 21:03:31 | DEBUG    | create_stealth_browser | Браузер 1-7 создан успешно
2025-06-09 21:03:34 | INFO     | print_clean_stats    | СТАТИСТИКА: pages=0, found=0, detailed=0, failed_pages=0, failed_details=0
2025-06-09 21:03:34 | DEBUG    | create_stealth_browser | Браузер 2-6 создан успешно
2025-06-09 21:03:34 | DEBUG    | create_stealth_browser | Браузер 0-9 создан успешно
2025-06-09 21:03:35 | INFO     | worker_thread        | ВОРКЕР 0: Создано 10 браузеров
2025-06-09 21:03:35 | INFO     | worker_thread        | ВОРКЕР 0: Начало батча 1/334 (страницы 1-10)
2025-06-09 21:03:35 | DEBUG    | get_suppliers_from_page | Обращение к странице 1: https://www.goszakup.gov.kz/ru/registry/supplierreg?count_record=50&page=1
2025-06-09 21:03:35 | DEBUG    | create_stealth_browser | Браузер 1-8 создан успешно
2025-06-09 21:03:37 | DEBUG    | create_stealth_browser | Браузер 2-7 создан успешно
2025-06-09 21:03:40 | DEBUG    | create_stealth_browser | Браузер 1-9 создан успешно
2025-06-09 21:03:40 | DEBUG    | create_stealth_browser | Браузер 2-8 создан успешно
2025-06-09 21:03:41 | INFO     | worker_thread        | ВОРКЕР 1: Создано 10 браузеров
2025-06-09 21:03:41 | INFO     | worker_thread        | ВОРКЕР 1: Начало батча 1/333 (страницы 11-20)
